Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
.,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsSettings.OutputType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: title
.,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsSettings.OutputType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.tools.compare.simple,CompareReportLine,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: structure; nodes; properties; depth; hasDifference
.,org.jkiss.dbeaver.tools.compare.simple,CompareReportLine,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: structure; nodes; properties; depth; hasDifference
.,org.jkiss.dbeaver.tools.compare.simple.messages,CompareMessages,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BUNDLE_NAME; open_in_browser; save_to_file; compare_object_handler_error_just_one_object_selected
.,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageOutput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageSettings,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsWizard,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.tools.compare.simple.ui.internal,CompareUIMessages,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BUNDLE_NAME; compare_objects_page_settings_page; compare_objects_page_settings_title; compare_objects_page_settings_description; compare_objects_page_settings_configuration_output_report; compare_objects_page_settings_configuration_output; compare_objects_page_settings_configuration_output_type; compare_objects_page_settings_group_objects; compare_objects_page_settings_nodes_column_name; compare_objects_page_settings_nodes_column_type; compare_objects_page_settings_nodes_column_full_name; compare_objects_page_settings_group_settings; compare_objects_page_settings_checkbox_skip_objects; compare_objects_page_settings_checkbox_compare_properties; compare_objects_page_settings_checkbox_compare_structure; compare_objects_page_settings_checkbox_scripts; compare_objects_page_checkbox_show_only_differences; compare_objects_page_report_settings; compare_objects_wizard_title; compare_objects_wizard_error_title; compare_objects_wizard_finish_report_title; compare_objects_wizard_finish_report_info; compare_objects_wizard_dialog_button_compare; compare_objects_error_just_one_object_selected_title; compare_objects_error_just_one_object_selected_message; compare_objects_error_different_object_types_title; compare_objects_error_different_object_types_message
.,org.jkiss.awt.injector,BrowsePeerProxy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.awt.injector,BrowsePeerProxy,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
.,org.jkiss.dbeaver.core,CoreFeatures,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: CATEGORY_APPLICATION; APP_OPEN; APP_CLOSE; CATEGORY_GENERAL; GENERAL_VIEW_OPEN; GENERAL_VIEW_CLOSE; GENERAL_SHOW_PERSPECTIVE
