Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.jkiss.utils,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 53
.,org.jkiss.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.utils; org.jkiss.utils.rest
.,org.jkiss.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AlphanumericComparator]; [ArgumentTokenizer]; [ArrayUtils; CommonUtils; SecurityUtils; StandardConstants; ArrayUtilsTest; CommonUtilsTest; IOUtils]; [Base64]; [BeanUtils; BeanUtilsTest]; [ByteNumberFormat; ByteNumberFormatTest]; [ByteNumberFormat.Unit]; [ByteNumberFormat.BinaryPrefix]; [GsonUtils]; [GsonUtils.ByteArrayToBase64TypeAdapter]; [IntKeyMap]; [IntKeyMap.IntEntry]; [IntKeyMap.HashIterator]; [IntKeyMap.ValueIterator]; [IntKeyMap.KeyIterator]; [IntKeyMap.EntryIterator]; [IntKeyMap.KeySet]; [IntKeyMap.Values]; [IntKeyMap.EntrySet]; [LongKeyMap]; [LongKeyMap.LongEntry]; [LongKeyMap.HashIterator]; [LongKeyMap.ValueIterator]; [LongKeyMap.KeyIterator]; [LongKeyMap.EntryIterator]; [LongKeyMap.KeySet]; [LongKeyMap.Values]; [LongKeyMap.EntrySet]; [MimeType]; [Pair]; [ReaderWriterLock]; [ReaderWriterLock.ExceptableConsumer]; [ReaderWriterLock.ExceptableFunction]; [BeanUtilsTest.DummyClass]; [BeanUtilsTest.DummyChild]; [BOMInputStreamTest]; [CommonUtilsTest.enumClass]; [CommonUtilsTest.enumClassEmpty]; [GeneralUtilsTest]; [MimeTypeTest]; [RestTest]; [RestTest.Controller]; [RestTest.ControllerImpl]; [RuntimeUtilsTest]; [SecurityUtilsTest]. LCC (Lack of Component Cohesion) = 0.85
