Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,org.jkiss.utils,AlphanumericComparator,compare,Magic Number,The method contains a magic number: 10,42
.,org.jkiss.utils,AlphanumericComparator,compare,Magic Number,The method contains a magic number: 10,42
.,org.jkiss.utils,AlphanumericComparator,compare,Magic Number,The method contains a magic number: 10,42
.,org.jkiss.utils,AlphanumericComparator,compare,Magic Number,The method contains a magic number: 10,42
.,org.jkiss.utils,ArgumentTokenizer,tokenize,Complex Conditional,The conditional expression c != 'n' && c != 't' && c != '\\' is complex.,66
.,org.jkiss.utils,ArgumentTokenizer,tokenize,Complex Method,Cyclomatic complexity of the method is 21,66
.,org.jkiss.utils,ArgumentTokenizer,tokenize,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@674f88d0,66
.,org.jkiss.utils,ArgumentTokenizer,tokenize,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@66d44471,66
.,org.jkiss.utils,ArgumentTokenizer,_escapeQuotesAndBackslashes,Complex Method,Cyclomatic complexity of the method is 8,190
.,org.jkiss.utils,ArrayUtils,main,Magic Number,The method contains a magic number: 100,271
.,org.jkiss.utils,ArrayUtils,main,Magic Number,The method contains a magic number: 100,271
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 3,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 3,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 3,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0xfc,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 4,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0x3,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0xfc,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 4,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0x3,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 4,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0xf0,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0xf,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 3,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0xfc,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 4,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0x3,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 4,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0xf0,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 2,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0xf,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 6,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0xc0,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 0x3f,48
.,org.jkiss.utils,Base64,decode0,Magic Number,The method contains a magic number: 3,48
.,org.jkiss.utils,Base64,decode0,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@37f6f505,48
.,org.jkiss.utils,Base64,decode,Complex Conditional,The conditional expression ch == S_BASE64PAD || ch < S_DECODETABLE.length && S_DECODETABLE[ch] != Byte.MAX_VALUE is complex.,73
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 4,73
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 4,73
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 3,73
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 3,73
.,org.jkiss.utils,Base64,decode,Complex Conditional,The conditional expression ch == S_BASE64PAD || ch < S_DECODETABLE.length && S_DECODETABLE[ch] != Byte.MAX_VALUE is complex.,99
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 4,99
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 4,99
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 3,99
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 3,99
.,org.jkiss.utils,Base64,decode,Complex Conditional,The conditional expression ch == S_BASE64PAD || ch < S_DECODETABLE.length && S_DECODETABLE[ch] != Byte.MAX_VALUE is complex.,125
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 4,125
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 3,125
.,org.jkiss.utils,Base64,decode,Complex Conditional,The conditional expression ch == S_BASE64PAD || ch < S_DECODETABLE.length && S_DECODETABLE[ch] != Byte.MAX_VALUE is complex.,146
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 4,146
